village_id,latitude,longitude,elevation,x_cross_km,downscaled_jjas_rainfall_mm,inside_validated_band
mh2.geojson:3937,16.70603,74.60222,540.0,84.95,401.5,False
mh2.geojson:3938,16.65729,74.58515,546.0,81.62,436.5,False
mh2.geojson:3939,16.61444,74.58985,556.7,80.51,438.6,False
mh2.geojson:4069,17.49257,74.30192,758.5,69.68,533.2,False
mh2.geojson:4070,17.46651,74.31739,732.5,70.9,529.1,False
mh2.geojson:4071,17.4703,74.33533,730.6,72.87,511.8,False
mh2.geojson:4072,17.4358,74.32894,712.4,71.43,491.5,False
mh2.geojson:4073,17.43603,74.30608,735.4,69.05,536.6,False
mh2.geojson:4074,17.41318,74.30714,737.0,68.58,526.3,False
mh2.geojson:4075,17.38034,74.28957,726.3,65.85,607.8,False
mh2.geojson:4076,17.36318,74.27473,737.4,63.82,641.6,False
mh2.geojson:4077,17.34719,74.31025,707.1,66.93,577.0,False
mh2.geojson:4078,17.35016,74.27007,765.2,62.94,656.5,False
mh2.geojson:4079,17.33317,74.32955,674.4,68.43,528.8,False
mh2.geojson:4080,17.33765,74.31339,689.3,66.94,556.6,False
mh2.geojson:4081,17.09022,74.30914,557.5,59.29,643.9,False
mh2.geojson:4082,17.32451,74.2664,749.8,61.75,638.4,False
mh2.geojson:4083,17.32188,74.2817,726.8,63.21,592.0,False
mh2.geojson:4084,17.32048,74.31222,690.8,66.25,543.2,False
mh2.geojson:4085,17.29943,74.28207,735.7,62.5,608.7,False
mh2.geojson:4086,17.27088,74.29855,740.9,63.21,580.3,False
mh2.geojson:4087,17.27789,74.27253,762.8,60.82,651.6,False
mh2.geojson:4088,17.27108,74.25961,681.4,59.28,675.2,False
mh2.geojson:4089,17.26201,74.27695,764.4,60.73,609.6,False
mh2.geojson:4090,17.22464,74.30378,736.4,62.21,512.0,False
mh2.geojson:4091,17.22341,74.28801,736.2,60.57,526.7,False
mh2.geojson:4092,17.21051,74.31124,708.6,62.53,529.9,False
mh2.geojson:4093,17.2131,74.25556,644.1,56.94,567.1,False
mh2.geojson:4094,17.19392,74.26559,625.7,57.36,590.9,False
mh2.geojson:4095,17.19919,74.25664,588.1,56.61,586.9,False
mh2.geojson:4096,17.18396,74.30517,707.4,61.11,557.1,False
mh2.geojson:4097,17.16783,74.28682,618.9,58.76,611.2,False
mh2.geojson:4098,17.17254,74.262,599.3,56.35,616.0,False
mh2.geojson:4099,17.15842,74.31313,594.8,61.23,658.3,False
mh2.geojson:4100,17.1349,74.32404,569.8,61.79,636.6,False
mh2.geojson:4101,17.15123,74.28746,567.7,58.38,700.6,False
mh2.geojson:4102,17.1479,74.25284,562.1,54.71,716.0,False
mh2.geojson:4103,17.14023,74.26544,563.3,55.81,767.8,False
mh2.geojson:4104,17.13818,74.30757,558.4,60.15,688.1,False
mh2.geojson:4105,17.12997,74.28249,558.1,57.33,743.4,False
